model,contrast,omitted_city,estimate_ppb,n_target_cities,n_estimable_cities,target
persistent_wind_comparator,episode_vs_persistent_wind_only,Atlanta,,10,8,equal_mean_remaining_10_cities_not_the_primary_11_city_target
persistent_wind_comparator,episode_vs_persistent_wind_only,Chicago,,10,8,equal_mean_remaining_10_cities_not_the_primary_11_city_target
persistent_wind_comparator,episode_vs_persistent_wind_only,Dallas,,10,8,equal_mean_remaining_10_cities_not_the_primary_11_city_target
persistent_wind_comparator,episode_vs_persistent_wind_only,Denver,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
persistent_wind_comparator,episode_vs_persistent_wind_only,Houston,,10,8,equal_mean_remaining_10_cities_not_the_primary_11_city_target
persistent_wind_comparator,episode_vs_persistent_wind_only,Los Angeles,,10,8,equal_mean_remaining_10_cities_not_the_primary_11_city_target
persistent_wind_comparator,episode_vs_persistent_wind_only,New York,,10,8,equal_mean_remaining_10_cities_not_the_primary_11_city_target
persistent_wind_comparator,episode_vs_persistent_wind_only,Philadelphia,,10,8,equal_mean_remaining_10_cities_not_the_primary_11_city_target
persistent_wind_comparator,episode_vs_persistent_wind_only,Phoenix,,10,8,equal_mean_remaining_10_cities_not_the_primary_11_city_target
persistent_wind_comparator,episode_vs_persistent_wind_only,San Diego,,10,8,equal_mean_remaining_10_cities_not_the_primary_11_city_target
persistent_wind_comparator,episode_vs_persistent_wind_only,Seattle,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
