model,contrast,city,estimate_ppb,estimable,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
period_2019_2022,episode_vs_reference,Atlanta,2.6152319094681578,True,2451,856,3,574,193,67,17,89,4,4,15,15,231.57580192752548,2.9393457357819255,856.0,193,67,1472,514,232,85,490,168,64,22
period_2019_2022,episode_vs_reference,Chicago,3.732192072387474,True,3149,856,4,742,62,19,8,63,4,4,15,15,147.80683359735556,3.8230215134864096,856.0,62,19,1814,486,405,113,706,194,162,44
period_2019_2022,episode_vs_reference,Dallas,3.1913907843558897,True,2997,856,4,735,97,28,9,56,4,4,15,15,168.13724224635283,2.436793587945694,856.0,97,28,1756,479,358,120,691,201,95,28
period_2019_2022,episode_vs_reference,Denver,1.9295950346568826,True,3989,856,5,973,28,6,3,30,4,4,15,15,223.2070556578042,3.484445435052148,856.0000000000001,28,6,2118,452,664,146,1069,228,110,24
period_2019_2022,episode_vs_reference,Houston,1.9412774166314937,True,7342,856,10,1777,282,32,13,58,4,4,15,15,674.4182162293126,3.0012158870159853,856.0000000000001,282,32,4088,475,1066,123,1682,200,224,26
period_2019_2022,episode_vs_reference,Los Angeles,2.8656554183110874,True,6299,856,8,1462,414,55,16,95,4,4,15,15,1025.2564897486325,3.363997362894811,855.9999999999999,414,55,3833,520,585,79,1180,162,287,40
period_2019_2022,episode_vs_reference,New York,4.475838018104402,True,7442,856,9,1743,302,35,15,65,4,4,15,15,187.63725155309714,3.6677772007786342,856.0000000000002,302,35,4249,488,973,111,1660,192,258,30
period_2019_2022,episode_vs_reference,Philadelphia,2.291604306496601,True,3940,856,5,955,105,24,9,54,4,4,15,15,166.63314873399204,3.320024633466995,856.0,105,24,2201,478,552,121,942,203,140,30
period_2019_2022,episode_vs_reference,Phoenix,3.9628219892116214,True,3949,856,6,924,48,10,5,27,4,4,15,15,331.2243436535848,2.930259119262279,856.0,48,10,2073,451,663,148,1089,230,76,17
period_2019_2022,episode_vs_reference,San Diego,2.6023980633618837,True,3162,856,4,753,190,49,18,75,4,4,15,15,652.9424102869365,1.6775620502485793,856.0,190,49,1815,497,395,102,664,182,98,26
period_2019_2022,episode_vs_reference,Seattle,7.612751073196807,True,1672,856,2,391,44,23,9,64,4,4,15,15,453.28674963300244,3.460381389932363,856.0,44,23,947,483,222,115,381,194,78,41
period_2019_2022,heat_only_vs_reference,Atlanta,0.22674897038757852,True,2451,856,3,574,193,67,17,89,4,4,15,15,231.57580192752548,2.9393457357819255,856.0,193,67,1472,514,232,85,490,168,64,22
period_2019_2022,heat_only_vs_reference,Chicago,0.7274137440031745,True,3149,856,4,742,62,19,8,63,4,4,15,15,147.80683359735556,3.8230215134864096,856.0,62,19,1814,486,405,113,706,194,162,44
period_2019_2022,heat_only_vs_reference,Dallas,-0.4853430343467471,True,2997,856,4,735,97,28,9,56,4,4,15,15,168.13724224635283,2.436793587945694,856.0,97,28,1756,479,358,120,691,201,95,28
period_2019_2022,heat_only_vs_reference,Denver,0.37802169923494505,True,3989,856,5,973,28,6,3,30,4,4,15,15,223.2070556578042,3.484445435052148,856.0000000000001,28,6,2118,452,664,146,1069,228,110,24
period_2019_2022,heat_only_vs_reference,Houston,-0.5453918833081419,True,7342,856,10,1777,282,32,13,58,4,4,15,15,674.4182162293126,3.0012158870159853,856.0000000000001,282,32,4088,475,1066,123,1682,200,224,26
