model,contrast,city,estimate_ppb,estimable,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
equal_station_weights,episode_vs_reference,Atlanta,2.4558051723174175,True,3701,1284,3,868,288,99,27,133,6,6,15,15,232.24709527512093,2.964230603203819,3701.0,288,99,2250,780,376,136,688,235,99,34
equal_station_weights,episode_vs_reference,Chicago,4.630881777035389,True,4644,1284,4,1108,108,33,14,98,6,6,15,15,146.84382852919032,3.8546144081613414,4644.0,108,33,2723,738,554,158,1025,290,234,65
equal_station_weights,episode_vs_reference,Dallas,2.4390985346972776,True,4519,1284,4,1109,156,46,14,85,6,6,15,15,165.74691955228153,2.556553910395356,4519.0,156,46,2490,686,704,218,1035,295,134,39
equal_station_weights,episode_vs_reference,Denver,1.7242796195865773,True,6040,1284,5,1461,37,8,4,41,6,6,15,15,224.84732643413054,3.340983193507379,6040.0,37,8,3185,676,1033,223,1632,344,153,33
equal_station_weights,episode_vs_reference,Houston,1.7933275367396386,True,10963,1284,10,2687,649,76,22,118,6,6,15,15,515.4795170689518,3.1951990075296517,10963.0,649,76,5754,664,1706,207,2506,295,348,42
equal_station_weights,episode_vs_reference,Los Angeles,3.020935880844484,True,9253,1284,8,2148,556,76,24,127,6,6,15,15,805.3031159335249,3.240232488733587,9253.0,556,76,5374,743,808,112,2154,302,361,51
equal_station_weights,episode_vs_reference,New York,4.547110359416104,True,10742,1284,9,2527,466,56,21,98,6,6,15,15,217.44079969680487,3.771978498097384,10742.0,466,56,6280,751,1205,142,2440,293,351,42
equal_station_weights,episode_vs_reference,Philadelphia,2.112389373062912,True,5975,1284,6,1435,145,33,13,76,6,6,15,15,167.09231028531363,3.405553340175382,5975.0,145,33,3414,730,743,164,1474,314,199,43
equal_station_weights,episode_vs_reference,Phoenix,3.1908232983074174,True,5991,1284,6,1414,72,16,8,49,6,6,15,15,407.38401771630095,2.8726504630302827,5991.0,72,16,3096,666,1104,241,1566,328,153,33
equal_station_weights,episode_vs_reference,San Diego,2.2117425310908563,True,5051,1284,5,1198,291,72,26,110,6,6,15,15,679.4301651584875,1.6865587983738444,5051.0,291,72,2858,735,559,140,1193,299,150,38
